VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
2,09/20/2018 08:15:53 AM,09/20/2018 08:28:15 AM,2,1.18,1,N,238,236,2,9.0,0.0,0.5,0.0,0.0,0.3,9.8
2,09/20/2018 08:29:36 AM,09/20/2018 08:45:34 AM,2,2.02,1,N,236,166,1,12.0,0.0,0.5,1.5,0.0,0.3,14.3
2,09/20/2018 08:29:25 AM,09/20/2018 09:15:17 AM,1,9.07,1,N,138,230,1,35.0,0.0,0.5,8.31,5.76,0.3,49.87
2,09/20/2018 08:17:25 AM,09/20/2018 08:59:11 AM,1,10.15,1,N,230,138,1,38.0,0.0,0.5,11.14,5.76,0.3,55.7
2,09/20/2018 08:06:56 AM,09/20/2018 08:10:59 AM,1,0.55,1,N,237,236,1,5.0,0.0,0.5,1.16,0.0,0.3,6.96
2,09/20/2018 08:12:36 AM,09/20/2018 08:21:38 AM,1,1.1,1,N,236,141,2,7.5,0.0,0.5,0.0,0.0,0.3,8.3
2,09/20/2018 08:23:41 AM,09/20/2018 08:45:49 AM,1,2.52,1,N,141,100,1,14.5,0.0,0.5,1.53,0.0,0.3,16.83
2,09/20/2018 08:49:20 AM,09/20/2018 08:56:55 AM,1,0.45,1,N,68,100,2,6.0,0.0,0.5,0.0,0.0,0.3,6.8
4,09/20/2018 08:34:50 AM,09/20/2018 09:07:04 AM,1,9.75,1,N,229,138,1,34.0,0.0,0.5,8.11,5.76,0.3,48.67
2,09/20/2018 08:50:41 AM,09/20/2018 08:59:08 AM,4,1.27,1,N,237,236,1,7.5,0.0,0.5,1.66,0.0,0.3,9.96
2,09/20/2018 08:59:43 AM,09/20/2018 09:14:23 AM,3,2.02,1,N,236,239,1,11.0,0.0,0.5,2.36,0.0,0.3,14.16
2,09/20/2018 08:23:34 AM,09/20/2018 08:26:28 AM,1,0.55,1,N,146,146,2,4.0,0.0,0.5,0.0,0.0,0.3,4.8
2,09/20/2018 08:31:09 AM,09/20/2018 08:45:18 AM,1,4.44,1,N,146,138,2,15.5,0.0,0.5,0.0,0.0,0.3,16.3
2,09/20/2018 08:12:01 AM,09/20/2018 08:32:12 AM,1,3.99,1,N,50,13,1,16.5,0.0,0.5,4.32,0.0,0.3,21.62
2,09/20/2018 08:48:50 AM,09/20/2018 09:01:20 AM,1,2.1,1,N,13,211,1,10.5,0.0,0.5,2.26,0.0,0.3,13.56
1,09/20/2018 08:47:33 AM,09/20/2018 09:03:03 AM,1,1.2,1,N,90,164,1,10.5,0.0,0.5,2.0,0.0,0.3,13.3
1,09/20/2018 08:21:03 AM,09/20/2018 08:34:43 AM,1,1.1,1,N,41,152,1,10.0,0.0,0.5,0.0,0.0,0.3,10.8
1,09/20/2018 08:51:55 AM,09/20/2018 09:15:12 AM,1,3.2,1,N,151,264,1,16.0,0.0,0.5,3.0,0.0,0.3,19.8
2,09/20/2018 08:19:40 AM,09/20/2018 08:44:49 AM,1,1.74,1,N,164,137,2,15.5,0.0,0.5,0.0,0.0,0.3,16.3
2,09/20/2018 08:45:49 AM,09/20/2018 08:58:27 AM,1,1.13,1,N,137,100,2,9.0,0.0,0.5,0.0,0.0,0.3,9.8
1,09/20/2018 08:42:08 AM,09/20/2018 08:44:54 AM,1,0.5,1,N,75,75,2,4.0,0.0,0.5,0.0,0.0,0.3,4.8
2,09/20/2018 07:54:38 AM,09/20/2018 08:15:35 AM,2,3.97,1,N,162,232,2,18.0,0.0,0.5,0.0,0.0,0.3,18.8
2,09/20/2018 08:41:01 AM,09/20/2018 08:49:00 AM,2,0.94,1,N,79,125,1,7.0,0.0,0.5,2.0,0.0,0.3,9.8
1,09/20/2018 08:17:43 AM,09/20/2018 08:49:28 AM,2,3.8,1,N,236,246,1,21.5,0.0,0.5,3.5,0.0,0.3,25.8
